scientificName
Acer sp
Nordenskioldia (Yochelsonospira) interglacialis (Hollick) Manchester et al.
Alangium sp
Bosworthia gyges Walcott
Bosworthia simulans Walcott
Dalyia nitens Walcott
Dalyia racemata
Dalyia racemata Walcott
Dalyia simplex
Dalyia sp
Dictyophycus gracilis Ruedemann
Genus sp Taylor & Halley
Genus sp Horodyski
Genus sp Lochman
Genus sp Applin & Applin
Glenoglia parasitica
Helminthoidichnites meekii Walcott
Lanceoforma striata Walter et al.
Margaretia dorus Walcott
Margaretia dorus
Marpolia aequalis Walcott
Marpolia sp
Marpolia spissa
Marpolia spissa Walcott
Mastopora sp Boucot & Yochelson
Morania confluens Walcott
Morania confluens
Morania costellifera Walcott
Morania costellifera
Morania elongata
Morania elongata Walcott
Morania fragmenta
Morania fragmenta Walcott
Morania frondosa Walcott
Morania globosa Walcott
Morania globosa
Morania parasitica Walcott
Morania reticulata Walcott
Morania sp
Morania sp Walcott
Proterotainia montana Walter et al.
Proterotainia neihartensis (Walcott)
Sphaerocodium cambria Walcott
Sphaerocodium praecursor Walcott
Verticillopora annulata Rezak
Wahpia insolens Walcott
Wahpia insolens
Wahpia mimica Walcott
Wahpia virgata
Wahpia virgata Walcott
Waputikia ramosa Walcott
Yuknessia bilateralis Walcott
Yuknessia bilateralis
Yuknessia simplex Walcott
Yuknessia simplex
Hymenaea sp
Hyprophilus triangularis (Say)
Dracontomelon sp
Pistacia sp
Annospermum sp
Epipremnum sp
sp. 1
Bursericarpum sp
Sambucus sp
Genus sp Berry
Dunstania sp
Langtonia sp
Mastixia oregonese Reid & Chandler
Mastixia sp
Portnallia sp
Actinocyclus ingens Rattray
Brunia mirabilis (Brun) Tempere
Cladogramma californicum Ehrenberg
Cladogramma dubium Lohman
Coscinodiscus endoi Kanaya
Coscinodiscus kurzii Grunow
Coscinodiscus miocenicus Schrader
Coscinodiscus moholensis Schrader
Coscinodiscus plicatus Grunow
Cosmiodiscus elegans Greville
Denticula hustedtii Simonsen & Kanaya
Denticula lauta Bailey
Hemidiscus simplicissimus Hanna & Grant
Mediaria splendida Sheshukov-Poretzkaya
Nitzschia kanayensis Schrader
Nitzschia reinholdii Kanaya
Nitzschia rolandii Schrader
Rhaphoneis surirella (Ehrenberg) Grunow
Rhizosolenia barboi Brun
Rhizosolenia miocenica Schrader
Rhizosolenia praebarboi Schrader
Rouxia peragalli Brun & Heribaud
Thalassiosira antiqua (Grunow) Cleve-Euler
Thalassiosira oestrupii (Ostenfeld) Proshkina-Lavrenko
Thalassiosira sp 1 Barron
Thalassiosira sp 2 Barron
Equisetum sp
Equisetaceae
Alnus sp
Quercus sp
Auritifolia waggoneri
Faboidea sp
Icacinicarya emarginata Chandler
Icacinicarya sp
Iodes sp
Paleophytocrene hancocki Scott
Paleophytocrene minima Reid & Chandler
Paleophytocrene sp
Phytocrene sp
Engelhardtia sp
Juglandicarya sp
Juglans clarnensis Scott
Juglans sp
Beilschmiedia clericii Reid & Chandler
Lauracarpum sp
0
Magnolia sp
Michelia champaea Linnaeus
Calyocarpum sp
Chandlera lacunosa Scott
Chandlera sp
Cissampelos sp
Cocculus sp
Davisicarpum sp
Diploclisia sp
Eohypserpa sp
Odontocaryoidea nodulosa Scott
Odontocaryoidea sp
Palaeosinomenium clarnensis Chandler
Palaeosinomenium sp
Tinomiscium sp
Tinospora occidentalis Reid & Chandler
Tinospora sp
Nyssa sp
Palaeonyssa sp
Palaeonyssa spatulata Scott
Palmospermum sp
Pinus sp
Sycamore sp
Citrispermum sp
Meliosma sp
Sabia sp
Sapindospermum sp
Schizandra sp
Dictyocha calida Poelchau
Dictyocha pentagona (Schulz) Bukry & Foster
Dictyocha subarctios Ling
Distephanus boliviensis subsp. frugalis Bukry
Distephanus longispinus (Schulz) Bukry & Foster
Distephanus polyactis (Ehrenberg) Deflandre
Distephanus speculum subsp. pseudocrux Schulz
Mesocena hexagona Haeckel
Styrax sp
Cephalotaxus sp
Taxus sp
Celtis sp
Ampelopsis sp
Parthenocissus borealis Scott
Parthenocissus sp
Tetrastigma sp
Vitis magnisperma Chandler
Vitis sp
Vitis subglobosa Reid & Chandler
Abies chaneyi Mason
Abies concolor Lindley
Abies longirostris Knowlton
Abies rigida Knowlton
Abies sp Brown
Abies sp
Abies sp Wolfe
Abietites angusticarpus Fontaine
Abietites cretacea Newberry
Abietites dubius Lesquereux
Abietites ellipticus Fontaine
Abietites ernestinae Lesquereux
Abietites foliosus (Fontaine) Berry
Abietites linki (Roemer) Dunker
Abietites longifolius (Fontaine) Berry
Abietites macrocarpus Fontaine
Abietites marylandicus Fontaine in Ward
Abietites setiger Lesquereux
Abietites sp Fontaine in Ward
Abietites sp Fontaine
Abutilon eakini Hollick
Abutilon sp Hollick
Acacia aquilonia Hollick
Acacia dimidiato-cordato Berry
Acacia dimidiato-cordato Engelhardt
Acacia eocaribbeanensis Dilcher et al.
Acacia kernensis Dilcher et al.
Acacia lamarensis Knowlton
Acacia lamarensis
Acacia macrosperma Knowlton
Acacia macrosperma
Acacia oregoniana Lesquereux
Acacia septentrionalis Lesquereux
Acacia tenuifolia Engelhardt
Acacia uninervifolia Engelhardt
Acacia wardi Knowlton
Acacia wilcoxensis Berry
Acaciaephyllum ellipticum Fontaine in Ward
Acaciaephyllum longifolium Fontaine
Acaciaephyllum microphyllum Fontaine
Acaciaephyllum pachyphyllum Fontaine in Ward
Acaciaephyllum spatulatum Fontaine
Acaciaephyllum variabile Fontaine
Acaciaphyllites cretaceum Berry
Acaciaphyllites grevillioides Berry
Acalypha virginica Linnaeus
Acanthotriletes echinatus Hoffmeister Et Al
Acer aequidentatum Lesquereux
Acer alaskense Wolfe & Tanai
Acer arcticum Heer
Acer ashwilli Wolfe & Tanai
Acer bendirei Lesquereux
Acer bendirei Knowlton
Acer bolanderi Lesquereux
Acer bosrivularis Wolfe & Tanai
Acer browni Wolfe & Tanai
Acer busamarum subsp. busamarum Wolfe & Tanai
Acer busamarum subsp. fingerrockense Wolfe & Tanai
Acer chaneyi Knowlton
Acer collieri Hollick
Acer cranei Wolfe & Tanai
Acer cretaceum Berry
Acer crookense Wolfe & Tanai
Acer dawkinsianus Wolfe & Tanai
Acer dettermani Wolfe & Tanai
Acer dimorphum Lesquereux
Acer disputabilis Hollick
Acer disputabilis
Acer douglasense Wolfe & Tanai
Acer elkoanum Wolfe & Tanai
Acer elwyni (Becker) Wolfe & Tanai
Acer ezoanum Oishi & Huzioka
Acer ezoanum Huzioka & Oishi
Acer ferrignoi Wolfe & Tanai
Acer florissanti Kirchner
Acer fragilis Knowlton
Acer gigas Knowlton
Acer glabroides Brown
Acer grahamensis Cockerell & Knowlton
Acer grahamensis Knowlton & Cockerell
Acer grantense Wolfe & Tanai
Acer heterodentatum (Chaney) MacGinitie
Acer idahoense Wolfe & Tanai
Acer inaequale Heer
Acer indivisum Weber
Acer indivisum Lesquereux
Acer intermedium Knowlton
Acer ivanofense Wolfe & Tanai
Acer kenaicum Wolfe & Tanai
Acer knolli Wolfe & Tanai
Acer knowltoni (Berry) Brown
Acer latahense Wolfe & Tanai
Acer lesquereuxi Knowlton
Acer macrophyllum Pursh
Acer manchesteri Wolfe & Tanai
Acer medianum Knowlton
Acer megasamarum Tanai & Suzuki
Acer merriami Knowlton
Acer minor Knowlton
Acer minutifolium Wolfe & Tanai
Acer molallense Wolfe & Tanai
Acer mysticum Kirchner
Acer negundoides MacGinitie
Acer nequndo Linne
Acer newberryi Brown
Acer oligomedianum Wolfe & Tanai
Acer oregonianum Knowlton
Acer osmonti Knowlton
