Xylomyia moratula
Geronites stigmatis
Saropogon obliterscens
Taphacris religuata
Microstylum destructum
Syrphus aphidopsites
Bracon cockerelli
Microgaster primordialis
Tryphon senex
Pimpla appendigera
Palaeotorymus laevis
Leptobatopsis ashmeadii
Aulacus bradleyi
Netelia Parabates memorialis
Olesicampe plenum
Hellwigia obsoleta
Oligoneuroides destructus
Tortrix florissantana
Anomalon confertum
Tylecomnus nom. dub. pimploides
Lissonota tenebrosa
Pteromalus exanimis
Hemiteles veternus
Mesochorus cataclysmi
Chalcis perdita
Palaeotorymus typicus
Microgaster
Salius senex
Passaloecus fasciatus
Philanthus saxigenus
Salius laminarum
Agenia cockerellae
Andrena grandipes
Megaraphidia elegans
Cicada grandiosa
Theronia wickhami
Anomalon miocenicum
Aulacostethus secumdus
Tryphon explantum
Oxycera rohweri
Lithagrion optimum
Plecia axeliana
Heteromyiella miocenica
Palaeovespa wilsoni
Amblycorypha perdita
Odynerus percontusus
Cladius petrinus
Empis florissanta
Odynerus wilmattae
Saperda lesquereuxi
Bittacomorpha miocenica
Enallagma morhulla
Eriocampa synthetica
Selandria sapindi
Eofulgorella bradburyi
Heriades mildredi
Adelopsyche frustrans
Tulipidea consumpta
Aleochara
Tipula florissanta
Dolichoderus antiquus
Protoazteca quadrata
Dolichoderus rohweri
Protoazteca capitata
Liometopum scucheleri
Miomyrmex impactus
Miomyrmex striata
Elaeomyrmex gracilis
Elaeomyrmex coloradensis
Iridomyrmex florissantius
Formica cockerelli
Camponotus fuscipennis
Messor sculpturatus
Pogonomyrmex fossilis
Lithomyrmex rugosus
Camponotus petrifactus
Petraeomyrmex minimis
Iridomyrmex obscurans
Enallagma oblisum
Basiaeschna separata
Asilus florissantinus
Philonicus saxorum
Lestomyia miocenica
Ceraturgopsis praecursor
Bibio cockerelli
Bibio vetus
Eriocampoides revelatus
Teleocoris pothetias
Derobrochus typharum
Tenthredella toddi
Pseudocimbex clavatus
Tingis florissantensis
Echinaphis rohweri
Odynerus terryi
Saperda submersa
Geotiphia halictina
Pachysystropus condemnatus
Poliosphageus psychrus
Janus disperditus
Phryganea miocenica
Poliocoris amnesis
Oplonaeschna lapidaris
Asilus wickhami
Nicocles miocenicus
Megacosmus secundus
Hirmoneura occultator
Taracticus confusus
Rhamphomyia sepulta
Empis perdita
Heriades saxosus
Protomelecta brevipennis
Megaxyela petrefacta
Parotermes fodinae
Andrena hypolitha
Melitta willardi
Lithanthidium pertriste
Heriades bowditchi
Libellulapis antiquorum
Pelandrena reducta
Libellulapis wilmattae
Anthophora melfordi
Progloma rohweri
Halictus miocenicus
Pepsis avitula
Osmylus columbianus
Cyrtapis anomalus
Anthidium exhumatum
Platycheirus lethaeus
Agabus charon
Miosilpha necrophiloides
Deleaster grandiceps
Tritoma materna
Orphilus dubius
Amartus petrefactus
Melanophila cockerellae
Acmaeodera schaefferi
Ptosima abyssa
Pyropyga prima
Trichochrous miocenus
Aphodius aboriginalis
Aphodius shoshonis
Leptura petrorum
Bruchus exhumatus
Bruchus bowditchi
Bruchus florissantensis
Bruchus haywardi
Bruchus osborni
Mordellistena florissantensis
Crioceridea dubia
Tipula subterjacens
Tematrechus
Stenovelia nigra
Mesochorus
Rhagio mystaceacformis
Cheilosia sepulta
Labiduromma
Labiduromma scudderi
Labiduromma gurneyi
Labiduromma commixtum
Odonata
Zygoptera
Labiduridae
Labiduromma exsulatum
Halictidae
Dicranomyia fragilis
Dicranomyia fontainei
Limnophila rogersii
Tipula fmartinbrowni
Tipula carolinae
Tipula picta
Tipula limi
Tipula
Tipula carpenteri
Tipula evanitura
Limonia rohweri
Glossina oligocena
Podabrus cuspesoides
Toxorhynchus minisculus
Setodes portionalis
Rhyacophila
Limnophilus
Cyttaromyia cancellata
Tipula lapillescens
Tipula consumpta
Tipula lethaea
Idiognophomyia seiverti
Hydropsyche B
Aeschna separata
Anisoptera
Lithoserix williamsi
Lithagrion kennedyi
Aculeata
Apoidea
Ichneumonidae
Braconidae
Apoidea incertae sedis (Anthophila)
Vespidae
Ophioninae
Pimplinae
Pamphiliidae
Cryptinae
Pteromalus
Chalcididae
Tenthredinidae
Olesicampe
Megachilinae
Apidae
Ichneumon
Gerridae?
Rhepocoris propiquans
Veliidae?
Palaeovespa
Palaeotorymus
Thlibomenus macer
Notonecta binuda
Telmatrechus
Pentatomidae
Corixidae?
Saldidae
"""Homoptera"" s.l. undiff"
Toxorhynchos minusculus
Staphylinidae
Staphylinidae?
Elateridae
Rhynchopterus
Polyphaga
Curculionoidea?
Cantharidae
Carabidae
Buprestidae
Cerambycidae?
Bruchidae
Curculionidae?
Ephemera pumicosa
Enallagma
Orthoptera
Blattidae
Inocellia
Chrysopidae
Osmylidae
Parotermes hagenii
Limnocema mortonii
Tipulidea picta
Bibio cockerelli?
Bibionidae?
Therevidae
Plecia explanata
Plecia melanderi
Plecia
Phora
Limoniinae
Chironomidae?
Muscomorpha
Blephariceridae
Nematocera
Empididae
Brachycera
Bombyliidae
Richardiidae
Bombyliidae?
Sciaridae?
Stratiomyidae
Syrphidae
Syrphidae?
Conopidae
Tabanidae
Phoridae
Glossina?
Platypezidae?
Tabanidae?
Culicidae?
Bibio wickhami?
Anthomyzidae
Sciomyzidae
indeterminate
Rhagionidae?
Empis
Platypezidae
Paracosmus?
Pyralidae
Tortricidae
Mesobrochus imbecillus
Leptoceridae
Symphyta
Taracticus renovatus
Megarhina saxetana
Paracosmus
Cicadellidae
Sciaridae
Masteutes saxifer
Lithagrion
Meloidae
Diospilus repertus
Hemiptera
Dicranota cockerelli
Proctotrupes exhumatus
Ceratopogonidae?
Ichneumonoidea
Taphacris
Cordiceramus bueltenensis
Exogyra costata
Mytiloides
Inoceramus sagensis
Invertebrate Phylum incertae sedis
Endocostea sagensis
Inoceramus barabini
Endocostea vanuxemi
Inoceramidae
Scaphites nodosus
Endocostea barabini
Cremnoceramus
Inoceramus howelli
0
Baculites
Ammonoidea
Bivalvia
Endocostea balticus
Endocostea
Gastropoda
Animalia
Inoceramus oblongus
Odontobasis ventricosa
Baculites ovatus
Inoceramus sublaevis
Baculites anceps
Discoscaphites conradi
Baculites asper
Lucina occidentalis
Scaphites
Lucina?
Ostrea
Anisomyon centrale
Cephalopoda
Pterioida
Lucina cleburni
Micrasteridae
Anthozoa
Neotaenioglossa
Inoceramus barbabini
Inoceramus vanuxemi
Cremnoceramus crassus
Inoceramus dakotensis
Scaphites conradi gulosus
Ostrea congesta
Heteroceras nebrascense
Cardium speciosum
Anchura haydeni
Inoceramus deformis
Pinna lakesii
Margarites nebrascensis
Inoceramus labiatus
Ostrea glabra
Mactra
Veniella humilis
Callista deweyi
Tellina scitula
Viviparus raynoldsanus
Ptychoceras crassum
Anisomyon borealis
Placenticeras whitfieldi
Heteroceras cochleatum
Inoceramus
Chaetetes demissus
Cyphosoma konigii
Terebratula biplicata
Pecten nitidus
Ananchytes ovatus
Galerites albogalerus
Parasmilia serpentina
Parasmilia centralis
Belemnites mucronata
Cidaris
Micraster coranguinum
Spondylus spinosus
Goniaster
Lima cardiiformis
Belemnites minisuus
Nucula pectenata
Actinoceramus sulcatus
Inoceramus concentricus
Inoceramus sulcatus
Geloina
Ammonites lantus
Ammonites splendens
Belemnites attenuatus
Trigonia
Hamites attenuatus
Ammonites
Viviparus
Ammonites cordiformis
Placenticeras
Callista nebrascensis
Mactra warrenana
Prionocyclus wyomingensis
Exogyra arietina
Ostrea carinata
Baculites compressus
Dentalium
Lunatia subcrassa
Mactra formosa
Callista
Nucula
Pyrifusus newberryi
Melania wyomingensis
Pteria linguiformis
Modiolus meeki
Ostrea inornata
Ptychoceras
Gyrodes
Margarites
Anomia rectiformis
Ostrea falcata
Tellina
