scientificName,
Acanthodes,
Cheiracanthus,
Homalacanthus,
Pseudacanthodes,
Traquairichthys,
Acanthostega,
Acanthurus,
Protautoga,
Tautoga,
Accipiter,
Buteo,
Circus,
Geranoaetus,
Haliaeetus,
Palaeoborus,
Palaeoplancus,
Proictinia,
Pseudastur,
Spizaetus,
Titanohierax,
Parahyus,
Acipenser,
Acrocephalus,
Acrodelphis,
Arcrodelphis,
Champsodelphis,
Hesperocetus,
Acrolepis,
Boreosomus,
Actinodon,
Adapis,
Hipposyus,
Tomitherium,
Aeduella,
Westollia,
Aepyornis,
Mullerornis,
Aetiocetus,
Ashorocetus,
Chonecetus,
Morawanocetus,
Willungacetus,
Tinosaurus,
Helicoprion,
Toxoprion,
Agorophius,
Agriochoerus,
Diplobunops,
Mesagriochoerus,
Protoreodon,
Euchambersia,
Proalopecopsis,
Albanerpeton,
Albireo,
Albula,
Chicolepis,
Coriops,
Paralbula,
Petalolepis,
Pterothrissus,
Alca,
Cyclorrhynchus,
Fratercula,
Miocepphus,
Pinguinus,
Pseudocepphus,
Alle,
Hydrocynus,
Alligator,
Allognathosuchus,
Brachychampsa,
Deinosuchus,
Procaimanoidea,
Purussaurus,
Stangerochampsa,
Allodelphis,
Arktocara,
Goedertius,
Zarhinocetus,
Ctenacodon,
Psalodon,
Campestrallomys,
Haplomys,
Spurimus,
Allosaurus,
Antrodemus,
Alopecias,
Alopias,
Leptostyrax,
Amblypterus,
Ambulocetus,
Gandakasia,
Ambystoma,
Amia,
Amiopsis,
Ennelis,
Melvius,
Pappichthys,
Paramiatus,
Platacodon,
Stylomyleodon,
Urocles,
Amphibamus,
Gerobatrachus,
Micropholis,
Tersomius,
Kolponomos,
Amphicynodon,
Amphicyon,
Cynelos,
Cynodictis,
Daphoenictis,
Daphoenid,
Daphoenocyon,
Daphoenus,
Ischyrocyon,
Proamphicyon,
Protemnocyon,
Temnocyon,
Colpocherus,
Macrocranion,
Aploconodon,
Phascolodon,
Amphisbaena,
Amphitherium,
Amynodon,
Metamynodon,
Toxotherium,
Microcorax,
Aix,
Anabernicula,
Anas,
Anser,
Archaeocycnus,
Aythya,
Branta,
Bucephala,
Charitonetta,
Chelychelynechen,
Chen,
Chenopis,
Clangula,
Cnemiornis,
Cygnopterus,
Cygnus,
Dendrocygna,
Erismatura,
Geochen,
Heterochen,
Histrionicus,
Lophodytes,
Melanitta,
Mergus,
Nettion,
Nyroca,
Oxyura,
Presbychen,
Ptaiochen,
Querquedula,
Talpanas,
Thambetochen,
Arpadosaurus,
Celestus,
Diploglossus,
Eoglyptosaurus,
Gaultia,
Gerrhonotus,
Glyptosaurus,
Helodermoides,
Melanosaurus,
Odaxosaurus,
Oreosaurus,
Paraglyptosaurus,
Parophisaurus,
Peltosaurus,
Proxestops,
Xestops,
Anguilla,
Anhinga,
Coniophis,
Siemensichthys,
Ankylosaurus,
Anodontosaurus,
Dyoplosaurus,
Euoplocephalus,
Glyptodontopelta,
Kunbarrasaurus,
Minmi,
Nodocephalosaurus,
Oohkotokia,
Scolosaurus,
Tatankacephalus,
Anoplotherium,
Anteosaurus,
Anthracobune,
Eobaphetes,
Aepinacodon,
Ancodon,
Anconodon,
Anthracothere,
Elomeryx,
Merycopotamus,
Antilocapra,
Capromeryx,
Ceratomeryx,
Cosoryx,
Cranioceras,
Dicrocerus,
Hexameryx,
Merycodon,
Merycodus,
Palaeomeryx,
Procranioceras,
Ramoceros,
Stockoceros,
Tetrameryx,
Yumaceras,
Apatemys,
Labidolemur,
Teilhardella,
Apheliscus,
Haplomylus,
Amphiplaga,
Asineops,
Erismatopterus,
Trichophanes,
Allomys,
Altasciurus,
Cedromus,
Dakotallomys,
Promeniscomys,
Prosciurus,
Pseudaplodon,
Selenomys,
Tachornis,
Apogon,
Oligoryctes,
Araeoscelis,
Aramus,
Prosotherium,
Archaeopteryx,
Anacodon,
Baioconodon,
Chriacus,
Claenodon,
Desmatoclaenus,
Deuterogonodon,
Eoconodon,
Goniacodon,
Lambertocyon,
