scientificName
Bathyuriscus (Poliella) chilo Walcott
Bathyuriscus (Kootenia) dawsoni Walcott
Bathyuriscus eboracensis Rasetti
Bathyuriscus elegans (Walcott)
Bathyuriscus fimbriatus Robison
Bathyuriscus formosus Deiss
Bathyuriscus howelli Walcott
Bathyuriscus lodensis Clark
Bathyuriscus manchuriensis Walcott
Bathyuriscus marjumensis Resser
Bathyuriscus ornatus Walcott
Bathyuriscus petalus Fritz
Bathyuriscus piedmontensis Resser
Bathyuriscus politus Resser
Bathyuriscus (Poliella) primus Walcott
Bathyuriscus (Poliella) probus Walcott
Bathyuriscus productus Walcott
Bathyuriscus productus (Hall & Whitfield)
Bathyuriscus punctatus Palmer
Bathyuriscus rotundatus (Rominger)
Bathyuriscus rugosus Deiss
Bathyuriscus sp Walcott
Bathyuriscus sp Campbell
Bathyuriscus sp McLaughlin & Enbysk
Bathyuriscus sp Rasetti
Bathyuriscus sp
Bathyuriscus (Poliella) sylla Walcott
Bathyurus acutus angustus Ross
Bathyurus congeneris Walcott
Bathyurus ellipticus Cleland
Bathyurus extans emaciatus Ross
Bathyurus extans Hall
Bathyurus extans (Hall)
Bathyurus haydeni Meek
Bathyurus johnston Raymond
Bathyurus levis Cleland
Bathyurus nevadensis Ross
Bathyurus pogonipensis Hall & Whitfield
Bathyurus schucherti Clark
Bathyurus serratus Meek
Bathyurus similis Walcott
Bathyurus sp Ross
Bathyurus sp Butts
Bathyurus spiniger Hall
Bathyurus spiniger (Hall)
Bathyurus tuberculatus Walcott
Bathyurus woosteri Whitfield
Bayfieldia binodosa (Hall)
Bayfieldia simata var. a Winston & Nicholls
Bayfieldia simata Winston & Nicholls
Bayfieldia sp Palmer
Bayfieldia sp Rasetti
Bellacartwrightia sp
Bellaspis longifrons Clark
Bellaspis oblonga Balk
Bellaspis ulrichi Rasetti
"Bellefontia acuminiferentis Ross, 1951"
Bellefontia chamberlain Clark
"Bellefontia chamberlani Clark, 1935"
Bellefontia collieana (Raymond)
Bellefontia nonia (Walcott)
Bellefontia nonius (Walcott)
Bellefontia sp
Bergeroniellus sp
Bergeronites ketteleri (Monke)
Bergeronites sp Zhang & Jell
Berkeia angustata Resser
Berkeia comes Resser
Berkeia glabellamersa Wilson
Berkeia jucunda Resser
Berkeia missouriensis Resser
Berkeia modesta
Berkeia nevadensis Resser
Berkeia occidentalis Lochman
Berkeia retusa Resser
Berkeia sculptilis Resser
Berkeia texana
Berkeia wichitaensis Resser
"Bevanopsis buttsi (Cooper, 1953)"
Bevanopsis sp Evitt & Tripp
Bevanopsis ulrichi Cooper
Bicaspis austinvillensis Resser
Bicaspis typica Resser
Bicella bicensis (Resser)
Biceratops nevadensis Pack & Gayle
Biceratops nevadensis
Bienella problematica Lochman
Bienella sp Lochman & Denson
Bienvillia corax (Billings)
Bienvillia grandis Robison & Pantoja-Alor
Bienvillia sp Palmer
Bienvillia sp Taylor
Bifodina longifrons Robison & Pantoja-Alor
Bigranulella latigena Clark
Bigranulella latigenae Clark
Blackwelderia cilix (Walcott)
Blackwelderia longispina Resser & Endo in Endo & Resser
Blackwelderia longispina Endo & Resser
Blackwelderia octaspina Resser & Endo in Endo & Resser
Blackwelderia octospina Endo & Resser
Blackwelderia paronai (Airaghi)
Blackwelderia perconvexa Endo & Resser
Blackwelderia perconvexa Resser & Endo in Endo & Resser
Blackwelderia sinensis (Bergeron)
Blackwelderia sola Endo & Resser
Blackwelderia spectabilis Endo & Resser
Blackwelderia spectabilis Resser & Endo in Endo & Resser
Blainia buttsi Rasetti
Blainia gregaria (Walcott)
Blainia halli Resser
Blainia kincaidensis Resser
Blainia tennesseensis Resser
Blairella crassimarginata Rasetti
Blairella triangularis Rasetti
Blandicephalus texanus Palmer
Blodgettia kalais Hahn & Hahn
Blountia alemon Walcott
Blountia alethes Walcott
Blountia alexas Walcott
Blountia amage Walcott
Blountia andreas Walcott
Blountia angustata Resser
Blountia anser Walcott
Blountia antecepta Resser
Blountia arcuosa Resser
Blountia arguta Resser
Blountia assimilis Resser
Blountia beltensis Duncan in Lochman & Duncan
Blountia brevis Resser
Blountia bristolensis Resser
Blountia carlotta Lochman in Lochman & Duncan
Blountia cora Lochman in Lochman & Duncan
Blountia crassa Resser
Blountia disparilis Resser
Blountia elongata Resser
Blountia expansa Duncan in Lochman & Duncan
Blountia janei Lochman in Lochman & Duncan
Blountia kindlei Resser
Blountia lata Resser
Blountia longifrons Resser
Blountia mimula Walcott
Blountia montanensis Duncan
Blountia nixonensis Lochman
Blountia nixonensis Lochman in Lochman & Duncan
Blountia ovata Duncan
Blountia plana Duncan
Blountia polita Duncan
Blountia prolifica Tasch
Blountia rogersvillensis Resser
Blountia sp Tasch
Blountia sp Palmer
Blountia sp Lochman
Blountia sp 1 Lochman
Blountia sp 2 Lochman
Blountia virginica Rasetti
Blountia waddlensis Tasch
Blountia warriorensis Tasch
Blountia widnerensis Resser
Blountiella alberta Resser
Blountiella buttsi Resser
Blountiella cordilleria Duncan in Lochman & Duncan
Blountiella cordilleria Duncan
Blountiella lata Resser
Blountina eleanora Lochman
Blountina triangularis Lochman
Blountina triangularis Lochman in Lochman & Duncan
Bohemoharpes ungula
Bojoscutellum pompilius (Billings)
Bolaspidella burnetensis (Walcott)
Bolaspidella contracta Robison
Bolaspidella drumensis Robison
Bolaspidella fisheri Rasetti
Bolaspidella housensis (Walcott)
Bolaspidella interrupta Rasetti
Bolaspidella prooculis Palmer
Bolaspidella sp
Bolaspidella sp Palmer
Bolaspidella sp Rasetti
Bolaspidella tuberculata Rasetti
Bolaspidella wellsvillensis (Lochman & Denson in Palmer)
Bolaspidella wellsvillensis (Lochman & Denson)
Bolaspis aemula Resser
Bolaspis globulifera Deiss
Bolaspis grandis Deiss
Bolaspis labrosa Resser
Bolaspis minuta Deiss
Bolaspis neihartensis Resser
Bolaspis unica Deiss
Bolaspis vera Deiss
Bolbocephalus seelyi (Whitfield)
Bolbocephalus sp Whittington
Bolbocephalus st.clairi Cullison
Bolboparia elongata Rasetti
Bolboparia sp 1 Rasetti
Bolboparia sp 2 Rasetti
Bolboparia superba Rasetti
Bollandia eudora Hahn & Hahn
Bollandia trivignoi
Bonnaria salemensis (Resser)
Bonnaspis stephenensis (Walcott)
Bonneterrina appalachia (Walcott)
Bonneterrina aspinosa Tasch
Bonneterrina prima Lochman
Bonnia bicensis Resser
Bonnia bubaris (Walcott)
Bonnia busa (Walcott)
Bonnia caperata Palmer
"Bonnia columbensis Resser, 1937"
Bonnia copia Fritz
Bonnia crassa Resser
Bonnia quebecensis Resser
Bonnia salemensis Resser
Bonnia sola Resser & Howell
Bonnia sonora Lochman in Cooper Et Al
Bonnia sp Robison & Hintze
Bonnia sp Lochman
Bonnia sp Palmer in Palmer & Halley
Bonnia sp Rasetti
Bonnia sp 1 Rasetti
Bonnia sp 2 Rasetti
Bonnia sp 3 Rasetti
Bonnia sp 4 Rasetti
Bonnia swantonensis Resser
Bonnia tatondukensis Palmer
Bonnia tensa Resser
Bonnia tenuis Resser
Bonnia tumifrons Resser
Bonniella bracteata Resser
Bonniella minor Resser
Bonniella tumida Resser
Bonniella virginica Resser
Bonniella yorkensis Resser & Howell
Borthaspidella gaspensis Rasetti
Bouleia dagincourti (Ulrich)
Bouleia sphaericeps (Kozlowski)
Bowmania americana (Walcott)
Bowmania parvula (Weller)
Bowmania pennsylvanica Rasetti
Bowmania sagitta Winston & Nicholls
Brabbia pustolomarginata Palmer
Brachyaspidion microps Robison
Brachyaspidion sulcatum Robison
Brachyaspis australis Whittington
Brachymetopus (Conimetopus) arcticus Hahn & Hahn
Brachymetopus elegans Girty
Brachymetopus rhinorhachis Brezinski
Brachymetopus (Acutimetopus) weberi kalodermatus Hahn & Hahn
Braintreella currieri Wheeler
Braintreella rogersi (Walcott)
Brassicephalus pulchellus Lochman
Brassicicephalus pulchellus Lochman
Brassicicephalus snowyensis Lochman in Lochman & Duncan
Brassicicephalus wolfensis Lochman in Lochman & Duncan
Brevidiscus agnostoides Kobayashi
Breviphillipsia sampsoni (Vogdes)
Breviphillipsia semiteretis Hessler
Bridgeia mirabila Lochman in Lochman & Duncan
Briscoia dalyi (Walcott)
Briscoia elegans (Kobayashi)
Briscoia hartti (Walcott)
Briscoia llanoensis Winston & Nicholls
Briscoia lodensis Ulrich & Resser
Briscoia mertiei Kobayashi
Briscoia nevadensis Resser
Briscoia pertransversa Lochman
Briscoia robusta Kobayashi
Briscoia schucherti Ulrich & Resser
Briscoia septentrionalis Kobayashi
Briscoia sp Stitt
Briscoia sp Bell & Ellinwood
Briscoia winchelli Resser
Bristolia anteros Palmer in Palmer & Halley
Bristolia bovis Best
Bristolia bristolensis (Resser)
Bristolia fragilis Palmer in Palmer & Halley
Bromella veritas Palmer
Brongniartella sp Ross
Bronteopsis brumleyi Cooper
Bronteopsis gregaria Raymond
Bronteopsis tennesseensis Cooper
Bronteus laphami Whitfield
Bucksella brevis Howell
Bucksella limeportensis Howell
Bucksella longa Howell
Bucksella solitaria Howell
Buenellus chilhoweensis
Bumastus billingsi Raymond & Narraway
Bumastus decemsegmentus Ulrich
Bumastus holei Foerste
Bumastus insignis (Hall)
Bumastus ioxus (Hall)
Bumastus lioderma Raymond
Bumastus milleri (Billings)
Bumastus rowleyi Foerste
Bumastus subglobosus Ulrich
Burlingia hectori Walcott
Burmeisterella sp
Burnetia alta Resser
Burnetia cava Resser
Burnetia curta Resser
Burnetia ectypa Resser
Burnetia edwardsi Resser
Burnetia exilis Resser
Burnetia extensa Resser
Burnetia intermedia Resser
Burnetia lingula Resser
Burnetia pennsylvanica Resser
Burnetia sp Lochman
Burnetia urania (Walcott)
Burnetiella ectypa (Resser)
Burnetiella pumila Lochman
Bynumia arguta Resser
Bynumia elegans Resser
Bynumia eumus Walcott
Bynumia lata Lochman in Lochman & Duncan
Bynumia modesta Lochman in Lochman & Duncan
Bynumia mollis Lochman in Lochman & Duncan
Bynumia producta Resser
Bynumia rangerensis Resser
Bynumia robsonensis Resser
Bynumia sawbackensis Resser
Bynumia sp Grant
Bynumia sulcata Resser
Bynumia venusta Resser
Bynumia walcotti Resser
Bynumiella acuminata Palmer
Bynumiella briscoensis Resser
Bynumiella obscura Lochman
Bynumiella oklahomensis Resser
Bynumiella typicalis Resser
Bynumina caelata Resser
Bynumina globosa (Walcott)
Bynumina missouriensis Resser
Bynumina terrenda Wilson
Bythechelius typicum
Bythicheilus alveatum Resser
Bythicheilus sp Fritz
Bythicheilus typicum Resser
Caborcella arrojosensis Lochman in Cooper Et Al
Caborcella arrojosensis Lochman
Caborcella clinolimbata Fritz
Caborcella granosa (Resser)
Caborcella pseudaulax Palmer in Palmer & Halley
Caborcella rara Rasetti
Caborcella reducta Palmer in Palmer & Halley
Caborcella skapta (Walcott)
Caborcella sp Fritz
Calipernurus insolitus Whittington
Callavia bicensis Walcott
Callavia burri Walcott
Callavia crosbyi Walcott
Callavia eucharis Walcott
Callavia nevadensis Walcott
Callavia perfecta Walcott
Calliops angusta Cooper
Calliops antecavatus Ulrich & Delo in Delo
Calliops armatus
Calliops armatus Ulrich & Delo in Delo
Calliops brevipostica Cooper
Calliops brevis Ulrich & Delo in Delo
Calliops buttsi Cooper
Calliops callicephala (Hall)
Calliops callirachis Cooper
Calliops declivis Ulrich & Delo in Delo
Calliops declivis Ulrich & Delo
Calliops gracilens (Raymond)
Calliops loxorachis Cooper
Calliops mesleri Cooper
Calliops platevillensis Ulrich & Delo in Delo
Calliops strasburgensis Ulrich & Delo in Delo
Calliops tuberculatus Delo
Callovia perfecta Walcott
Calmona sp Eldredge & Branisa
Calodiscus agnostoides (Kobayashi)
Calodiscus fissifrons Rasetti
Calodiscus foveolatus Howell
Calodiscus lobatus (Hall)
Calodiscus meeki (Ford)
Calodiscus nanus Palmer
Calodiscus occipitalis Rasetti
Calodiscus reticulatus Rasetti
Calodiscus sp Rasetti
Calodiscus theokritoffi Rasetti
Calodiscus walcotti Rasetti
Calvinella clivula Ulrich & Resser
Calvinella jerseyensis Howell
Calvinella lata Ulrich & Resser
Calvinella minor Ulrich
Calvinella notata Ulrich & Resser
Calvinella ozarkensis Walcott
Calvinella patula Howell
Calvinella portlandensis Howell
Calvinella prethoparia Longacre
Calvinella procera Winston & Nicholls
Calvinella prominentis Howell
Calvinella pulchra Howell
Calvinella sparsinodata Ulrich & Resser
Calvinella spiniger postlevata Ulrich & Resser
Calvinella spiniger communis Ulrich & Resser
Calvinella spiniger altimuralis Ulrich & Resser
Calvinella striata Endo & Resser
Calvinella striata Resser & Endo in Endo & Resser
Calvinella tenuisculpta Walcott
Calvinella walcotti Ulrich & Resser
Calvinella walcotti planulata Ulrich & Resser
Calvinella wisconsinensis junior Ulrich & Resser
Calymene abbreviata Foerste
"Calymene blumenbachii Brongniart, 1817"
Calymene breviceps Raymond
Calymene camerata Conrad
Calymene carinata Richter & Richter
Calymene cedarvillensis Foerste
Calymene celebra Raymond
Calymene chloropus Brongniart
Calymene clavicula Campbell
Calymene columellaris Weller
Calymene cresapensis Prouty
Calymene granulosa Foerste
Calymene granulosa (Foerste)
Calymene macrocephala Prouty
Calymene meeki retrorsa Foerste
Calymene niagarense Hall
Calymene niagarense restricta Prouty
Calymene niagarensis Hall
Calymene niagrensis Hall
Calymene platys Green
Calymene retrorsa minuens Foerste
Calymene senaria Conrad
Calymene sp Foerste
Calymene sp
Calymene sp Walcott
Calymene sp Swartz & Prouty
Calymene sp Allen & Lester
Calymene sp Endo
Calymene vogdesi Foerste
Calymene whittakeri Foerste
Calymenella nasuta Ulrich
Calyptaulax angusta (Cooper)
Calyptaulax callirachis Cooper
Calyptaulax cornwalli Ross
Calyptaulax holstonensis (Raymond)
Calyptaulax sp Ross et al.
Calyptomma typicale Resser
Camaraspis berkeyi (Resser)
Camaraspis convexa (Whitfield)
Camaraspis convexa Whitfield
Cancer sp Teigler & Towe
Carbonocoryphe (Aprathia) idahoensis Hahn et al.
Carinamala longispina Palmer
Carinamala sp Palmer
Carolinites angustagena Ross
Carolinites indentus Ross
Carolinites killaryensis (Stublefield)
Carrickia sp Ross
Carrickia sp 1 Ross
Catillicephalites marginatus Rasetti
Cedaria bella Lochman
Cedaria brevifrons Palmer
Cedaria buttsi Resser
Cedaria eurycheilos Palmer
Cedaria milleri Resser
Cedaria minor Walcott
Cedaria nixonia Lochman in Lochman & Duncan
Cedaria nixonia Lochman
Cedaria prolifica Walcott
Cedaria sp Palmer
Cedaria tennesseensis Walcott
Cedaria woosteri Whitfield
Cedarina alberta Lochman
Cedarina cordillerae (Howell & Duncan)
Cedarina obtusans Duncan in Lochman & Duncan
Cedarina prima Lochman
Cedarina prima Lochman in Lochman & Duncan
Cedarina sp Rasetti
Cedarina vale Lochman
Cedarina victoria Lochman in Lochman & Duncan
Centropleura sp Palmer & Stewart
Centropleura sp Rasetti
Centropleura vermontensis Howell
Ceratarges sp
Ceratocephala goniata Warder
Ceratocephala laciniata Whittington & Evitt
Ceratocephala rarispina Whittington
Ceratocephala sp Ross et al.
Ceratocephala triacantheis Whittington & Evitt
Ceratocephala (Ceratocephalina) tridens Whittington
Ceratonurus sp
Ceratonurus sp Campbell
Ceraurina glabra Butts
"Ceraurinella buttsi Cooper, 1953"
Ceraurinella chondra Whittington & Evitt
Ceraurinella corniger Cooper
Ceraurinella sp Ross
Ceraurinella typa Cooper
Ceraurinus glaber (Whittington)
Ceraurinus icarus (Billings)
Ceraurinus marginatus Barton
Ceraurinus pompilius (Billings)
Ceraurinus pompilius Billings
Ceraurinus sp Butts
Ceraurinus trentonensis Barton
Ceraurus binodosus Cooper & Kindle
Ceraurus bispinosis Raymond & Barton
Ceraurus breviceps Cooper
Ceraurus convexus Cooper
Ceraurus dentatus Raymond & Barton
Ceraurus miseneri Foerste
Ceraurus (Crotocephalus) niagarensis Hall
Ceraurus platinensis Foerste
Ceraurus pleurexanthemus var. montyensis Evitt
Ceraurus pleurexanthemus Evitt
Ceraurus pleurexanthemus var. major Ulrich
Ceraurus ruidus Cooper
Ceraurus sp Butts
Ceraurus sp Ross
Ceraurus sp Walcott
Ceraurus sp
Ceraurus sp 1 Ross et al.
Ceraurus sp 2 Ross et al.
Ceraurus sp 3 Ross et al.
Ceraurus speciosus Ulrich
Ceraurus whittingtoni Evitt
Cernuolimbus arcticus Palmer
Cernuolimbus depressus Palmer
Cernuolimbus granulosus Palmer
Cernuolimbus laevifrons Palmer
Cernuolimbus longifrons Palmer
Cernuolimbus orygmatos Palmer
Cernuolimbus semigranulosus Palmer
Chalfontia burea (Walcott)
Chancia angusta Resser
Chancia bigranulosa Rasetti
Chancia ebdome Walcott
Chancia evax Walcott
Chancia latigena Rasetti
Chancia maladensis (Resser)
Chancia odarayensis Rasetti
Chancia palliseri (Walcott)
Chancia stenometopa Rasetti
Chancia venusta (Resser)
Changia bianos (Walcott)
Changia calchas (Walcott)
Changia teres (Resser & Endo in Kobayashi)
Changshania baucis (Walcott)
Changshania bromus (Walcott)
Charchaquia norini Troedsson
Charchaquia norini (Troedsson)
Charchaquia sp Taylor
Chariocephalus affinis Resser
Chariocephalus agrarius Resser
Chariocephalus angustatus Resser
Chariocephalus badgerensis Resser
Chariocephalus bellus Resser
Chariocephalus bulla Resser
Chariocephalus gracilens Resser
Chariocephalus magnus Resser
Chariocephalus montis Resser
Chariocephalus tenerus Resser
Chariocephalus teres Resser
Chariocephalus tumifrons Hall & Whitfield
Chariocephalus ulrichi Resser
Chariocephalus whitfieldi Hall
Chariocephalus wichitaensis Resser
Chasmops breviceps Foerste
Chasmops breviceps Hall
Chasmops troosti Sauford & Vogdes
Cheilocephalus brachyops Palmer
Cheilocephalus breviloba (Walcott)
Cheilocephalus brevilobus Walcott
Cheilocephalus buttsi Resser
Cheilocephalus expansus Palmer
Cheilocephalus fragmentus (Walcott)
Cheilocephalus granulosus Palmer
Cheilocephalus minutus Palmer
Cheilocephalus pronis Resser
Cheilocephalus sp Palmer
Cheilocephalus sp Grant
Cheilocephalus sp Wilson
Cheilocephalus sp Theokritoff
Cheilocephalus sp Rasetti
Cheilocephalus texanus Resser
Cheilocephalus wichitaensis Resser
Cheiropyge koizumii Kobayashi & Hamada
Cheiruroides primigenius (Saito)
"Cheirurus apollo Billings, 1860"
Cheirurus infensus Campbell
Cheirurus niagarensis (Hall)
Cheirurus percensis Cooper & Kindle
Cheirurus phollikodes Holloway
Cheirurus prolixus Holloway
Cheirurus singularis Howell & Sanford
Cheirurus sp
Cheirurus tarquinius Billings
Chelediscus acifer Rushton
Chelediscus chathamensis Rasetti
Chiawangella pacifica (Walcott)
Cholopilus albertensis Resser
Cholopilus nevadensis Resser
Chomatopyge falcata Whittington & Evitt
Chomatopyge marginifera Whittington & Evitt
Chondranomocare australis Palmer & Gatehouse
Chorbusulina subdita Palmer & Gatehouse
Chorbusulina wilkesi Palmer & Gatehouse
Chuangia batia (Walcott)
Chuangia batia Walcott
Chuangia convoluta Resser & Endo in Endo & Resser
Chuangia convoluta Endo & Resser
Chuangia fragmenta Walcott
Chuangia kuantungensis Resser & Endo in Endo & Resser
Chuangia kuantungensis Endo & Resser
Chuangia lata Resser & Endo in Endo & Resser
Chuangia lata Endo & Resser
Chuangia nais Walcott
Chuangia nitida Walcott
Chuangia puteata Endo & Resser
Chuangia sp Zhang & Jell
Chuangia tolli Resser & Endo in Endo & Resser
Chuangia tolli Endo & Resser
Chuangia transversa Resser & Endo in Endo & Resser
Chuangia transversa Endo & Resser
Chuangiella intermedia Kobayashi
Churkinia yukonensis Palmer
"Cirquella nummularia Fritz, 1993"
Clappaspis concava Deiss
Clappaspis convexa Deiss
Clappaspis coriscea Resser
Clappaspis dotis Resser
Clappaspis hebetis Deiss
Clappaspis idahoensis Resser
Clappaspis lanata Resser
Clappaspis lickensis Deiss
Clappaspis mcnairi Deiss
Clappaspis obscura Deiss
Clappaspis papulata Deiss
Clappaspis singularis Deiss
Clappaspis spencei Resser
Clappaspis striata Deiss
Clappaspis typica Deiss
"Clarkeaspis padillaensis Lieberman, 1993"
Clavagnostus sp Robison & Palmer
Clavaspidella excavata Resser
Clavaspidella kanabensis Resser
Clavaspidella minor Resser
Clavaspidella piochensis Resser
Clavaspidella wasatchensis Resser
Clelandia aspina Ross
Clelandia bispina Ross
"Clelandia parabola (Cleland, 1900)"
Clelandia texana Winston & Nicholls
Clelandia utahensis Ross
Clevelandella aruno (Walcott)
Clevelandia nitida Resser
Cliffia lataegenae (Wilson)
Cliffia sp Lochman
Cliffia wilsoni Lochman
Coelaspis prima Deiss
Coenaspis spectabilis Resser
Colpocoryphe bohemica
Colpocoryphe exsul Whittington
Colpocoryphe grandis
Comanchia amplooculata (Frederickson)
Comanchia lippa Grant
Comanchia minus Palmer
Comptonaspis swallowi
Comura (Philonyx) sp
Conaspis leptoholcis Longacre
Conaspis masonensis Ellinwood in Bell & Ellinwood
Conaspis parvifrons Kurtz
Conaspis testudinata Ellinwood
Conaspis testudinatus Ellinwood
Conaspis testudinatus Ellinwood in Bell & Ellinwood
Conaspis tumida Kurtz
Concephalina whitehallensis Walcott
Condylopyge amitina Rushton
Condylopyge imperator Howell
Condylopyge regulus Matthew
Condylopyge sp Geyer & Landing
Conocephalina sp Zhang & Jell
Conocephalina sp Walcott
Conocephalina vesta (Walcott)
Conocephalites caliciferous Walcott
Conocephalites calymenoides Whitfield
"Conocephalites cordillerae Rominger, 1887"
Conocephalites (Pterocephalus) laticeps Hall & Whitfield
Conocephalites laticeps Hall & Whitfield
Conocephalites minor Shumard
Conocephalites quadratus Whitfield
Conocephalites subcoronatus Hall & Whitfield
Conococheaguea ovata Rasetti
Conocoryphe bullata Howell
Conocoryphe cirina
Conocoryphe (Conocephalites) kingii Meek
Conocoryphe reticulatus Walcott
Conocoryphe sulzeri Barrande
Conocoryphe sulzeri (Schlotheim)
Conocoryphe sulzeri
Conocoryphe terranouica Resser
Coosella andreas Walcott
Coosella beltensis Lochman in Lochman & Duncan
Coosella beltensis Lochman
Coosella brevis Resser
Coosella buttsi Resser
Coosella convexa Tasch
Coosella convexus Tasch
Coosella convexus magnalimbata Tasch
Coosella curticei Resser
Coosella granulosa Rasetti
Coosella lata Howell
Coosella macrops Rasetti
Coosella occidens Lochman in Lochman & Duncan
Coosella onusta (Whitfield)
Coosella perplexa Palmer
Coosella planicauda Rasetti
Coosella resseri Rasetti
Coosella sp Tasch
Coosella sp Palmer
Coosella sp Rasetti
Coosella sp.
Coosella tennesseensis Resser
Coosella texana Resser
Coosella vagrans Lochman in Lochman & Hu
Coosella vulgans Tasch
Coosella widnerensis (Resser)
Coosia albertensis Resser
Coosia alethes (Walcott)
Coosia bianos Walcott
Coosia canadensis Resser
Coosia connata (Walcott)
Coosia dakotensis Resser
Coosia daunus Walcott
Coosia expansa Resser
Coosia grandis Lochman in Lochman & Duncan
Coosia holliensis Resser
Coosia latilimbata Resser
Coosia longocula Palmer
Coosia magna Lochman
Coosia modesta Lochman in Lochman & Duncan
Coosia modesta Lochman
Coosia parva Howell
Coosia pustulata Tasch
Coosia robusta Walcott
Coosia sp Palmer
Coosia sp Rasetti
Coosia superba Walcott
Coosia superba (Walcott)
Coosia wolfensis Duncan in Lochman & Duncan
Coosia wyomingensis Resser
Coosina amage (Walcott)
Coosina ariston (Walcott)
Corbinia apopsis Winston & Nicholls
Corbinia horatio Walcott
Corbinia implumis Winston & Nicholls
Corbinia valida Walcott
Cordania falcata Whittington
Cordania gaspiou Clarke
Cordania macrobius (Billings)
Cordania ornata Hall
Cordania pulchra Cooper & Cloud
Cordania rara Stumm
Cordania sp Whittington
Cordania wessmani
Cornuproetus calhounensis Cooper & Cloud
Cornuproetus kyphora Holloway
Coronura aspectans (Conrad)
Coronura helena (Hall)
Corydocephalus ptyonurus (Hall & Clark)
Corynexochides expansus Rasetti
Corynexochides prolatus Fritz
Corynexochus brennus Walcott
Corynexochus capito Walcott
Corynexochus (Bonnia) fieldensis Walcott
Corynexochus (Bonnia) parvulus (Billings)
Corynexochus plumula Whitehouse
Corynexochus stephenensis Walcott
Corynexochus vermontensis Resser
Cotalagnostus laevus Robison
Cotalagnostus lens claudicans Westergaard
Cotalagnostus sp Robison
Crassifimbra sp 1 Rasetti
Crassifimbra sp 2 Rasetti
"Crassifimbra walcotti (Resser, 1937)"
Crassifimbra walcotti (Resser)
Crepicephalina carinata (Resser & Endo in Endo & Resser)
Crepicephalina convexa (Walcott)
Crepicephalina damia (Walcott)
Crepicephalina mukdensis Endo & Resser
Crepicephalina offula (Resser & Endo in Endo & Resser)
Crepicephalina pergranosa Resser & Endo in Endo & Resser
Crepicephalina pergranosa Endo & Resser
Crepicephalina quadrata Resser & Endo in Endo & Resser
Crepicephalina quadrata Endo & Resser
Crepicephalina sp Endo & Resser
Crepicephalina tenuicaudatus (Resser & Endo in Endo & Resser)
Crepicephalina transversa (Resser & Endo in Endo & Resser)
Crepicephalina vesta (Walcott)
Crepicephalus (Bathyurus) angulatus Hall & Whitfield
Crepicephalus (Loganellus) anytus Hall & Whitfield
Crepicephalus augusta Walcott
Crepicephalus auratus Lochman
Crepicephalus australis Palmer
Crepicephalus brevispinus Duncan in Lochman & Duncan
Crepicephalus buttsi montanensis Lochman in Lochman & Duncan
Crepicephalus buttsi Resser
Crepicephalus buttsi montanensis Lochman
Crepicephalus cecinna Walcott
Crepicephalus celer Walcott
Crepicephalus (Loganellus) centralis Whitfield
Crepicephalus chares Walcott
Crepicephalus comus Walcott
Crepicephalus convergens Rasetti
Crepicephalus convexus Walcott
Crepicephalus coosensis Walcott
Crepicephalus coria Walcott
Crepicephalus damia Walcott
Crepicephalus dis Walcott
Crepicephalus expansus Resser
Crepicephalus explicatus Resser
Crepicephalus explicatus Kesser
Crepicephalus exutus Resser
Crepicephalus goodwinensis Resser
Crepicephalus (Loganellus) granulosus Hall & Whitfield
Crepicephalus greendalensis Resser
Crepicephalus (Loganellus) haguei Hall & Whitfield
Crepicephalus iowensis (Owen)
Crepicephalus jerseyensis Howell
Crepicephalus liliana Walcott
Crepicephalus (Loganellus) maculosa Hall & Whitfield
Crepicephalus magnus Walcott
Crepicephalus (Loganellus) nitidus Hall & Whitfield
Crepicephalus perplexus Palmer
Crepicephalus petilus Resser
Crepicephalus (Loganellus) planus Whitfield
Crepicephalus (Loganellus) quadrans Hall & Whitfield
Crepicephalus rectiformis Resser
Crepicephalus rectus Resser
Crepicephalus saffordi Resser
Crepicephalus scissilis Resser
Crepicephalus (Loganellus) simulator Hall & Whitfield
Crepicephalus snowyensis Lochman in Lochman & Duncan
Crepicephalus snowyensis Lochman
Crepicephalus sp Robison & Palmer
Crepicephalus sp Tasch
Crepicephalus sp Lochman & Duncan
Crepicephalus sp Lochman
Crepicephalus sp Rasetti
Crepicephalus texanus danace Walcott
Crepicephalus texanus (Shumard)
Crepicephalus texanus elongatus Walcott
Crepicephalus thoosa Walcott
Crepicephalus tripunctatus magnispinus Walcott
Crepicephalus tumidus Walcott
Crepicephalus unca Walcott
Crepicephalus (Loganellus) unisulcatus Hall & Whitfield
Crepicephalus unzia Walcott
Crepicephalus upis Walcott
Croixana bipunctata (Shumard)
Cromus beaumonti
Crotalocephalina secta Kobayashi & Hamada
Crotalocephalus gibbus
Crotalocephalus sternbergi
Crozonaspis sp.
Crusoia cebes Walcott
Cryphaeoides rostratus (Kozlowski)
Cryphaeus australis Clarke
Cryphaeus boothi var. calliteles (Kayser)
Cryphaeus concavus Swartz
Cryptolithoides carinatus (Ulrich & Whittington in Whittington)
Cryptolithoides fittsi Ulrich & Whittington
Cryptolithoides fittsi (Ulrich & Whittington in Whittington)
Cryptolithoides reticulatus Ross & Shaw
Cryptolithoides reticulatus Ross
Cryptolithoides sp Ross et al.
Cryptolithoides sp Ross
Cryptolithoides ulrich Whittington
