scientificName
"Ampyxoides occipitalis Dean, 1973"
"Diplozyga striata Raymond, 1937"
"Praepatokephalus sp a Pojeta et al., 2005"
"Shumardia exopthalmus Ross-Jr., 1967"
"Sohopleura drakensis Jago & Webers, 1992"
"Bumastus trentonensis (Emmons, 1842)"
"Raymondaspis vespertina (Ross, 1967)"
"Carolinites ekphymosus Fortey, 1975"
"Carolinites sibiricus Chugaeva, 1964"
"Carolinites sp Fortey & Droser, 1999"
"Opipeuter sp Fortey & Droser, 1999"
"Telephina bicospis (Angelin, 1854)"
"Telephina gelasinosa (Ulrich, 1926)"
Telephina granulata (Angelin)
"Telephina prattensis (Ulrich, 1930)"
"Telephina tellicoensis (Ulrich, 1930)"
"Triarthroides cyclas Raymond, 1937"
"Fieldaspis bilobata Rasetti, 1951"
"Fieldaspis celer (Walcott, 1917)"
"Fieldaspis superba Rasetti, 1951"
"Stephenaspis highlandensis Sundberg & McCollum, 2003"
"Zacanthoides indicus Reed, 1910"
"Acadoparadoxides briareus Geyer, 1993"
Acanthalomina minuta
Acanthoparypha chiropyga Whittington & Evitt
Acanthoparypha perforata Whittington & Evitt
Acanthopyge consaguila
Acanthopyge sp
Acaste birminghamensis Norford
Acaste downingiae (Murchison)
Acastoides gamonedensis Eldredge & Branisa
Acastoides sp Eldredge & Branisa
Acastoides verneuili (d'Orbigny)
Acastopyge shergoldi Tomczykowa
Acernaspis sp
Acerocare sp Landing et al.
Achatella sp Cooper & Kindle
Acheilops dialatus Ulrich
Acheilops dilatus Ulrich
Acheilops masonensis Winston & Nicholls
Acheilops newtonensis (Weller)
Acheilops norwalkensis Ulrich & Resser
Acheilops sp
Acheilus microps Rasetti
Acheilus spinosus Rasetti
Achlysopsis hemitora Fritz
Achlysopsis liokata Fritz
Achlysopsis sp.
Aciculolenus peculiaris Palmer
Acidaspis berryi Swartz in Mathews
Acidaspis callicera Hall & Clarke
Acidaspis rebecca Bassler
Acidaspis rebecca Ulrich & Bassler in Bassler
Acidaspis romingeri Hall & Clarke
Acidaspis sp Ross
Acidaspis sp a Ross
Acidaspis sp b Ross
Acidaspis trentonensis Hall
Acidaspis ulrichi Bassler
Acidiphorus pseudobathyurus Ross
Acidiscus birdi Rasetti
Acidiscus hexacanthus Rasetti
Acidiscus theristes Rushton
Acimetopus bilobatus Rasetti
Acmarhachis acutus (Kobayashi)
Acmarhachis sp Palmer
Acmarhachis typicalis Resser
Acmarhachis ulrichi (Resser)
Acrocephalites americanus Walcott
Acrocephalites glomeratus Walcott
Acrocephalites insignis Walcott
Acrocephalites lataegenae Wilson
Acrocephalites multisegmentus Walcott
Acrocephalites tutus Walcott
Acrocephalops arizonaensis Resser in McKee & Resser
Acrocephalops exigua Resser
Acrocephalops gracilis Resser
Acrocephalops granulosa Resser
Acrocephalops nitida Resser
Acrocephalops teres Resser
Acrolichas harrisi (Miller)
Acrolichas shideleri Foerste
Agnostia sp
Agnostian Howell
Agnostus arcanus Safford
Agnostus barlowi definitus Howell
Agnostus barlowi var. definitus Howell
Agnostus bidens Meek
Agnostus bonnerensis Resser
Agnostus brevispinus Deiss
Agnostus brighamensis Resser
Agnostus chinensis Dames
Agnostus clarae Howell
Agnostus coloradoensis Shumard
Agnostus comes Endo & Resser
Agnostus comes Resser & Endo
Agnostus damesi Resser & Endo
Agnostus desideratus Walcott
Agnostus douvillei Berg
Agnostus douvillei Bergeron
Agnostus egenus Resser & Endo in Endo & Resser
Agnostus egenus Endo & Resser
Agnostus hastatus Deiss
Agnostus inexpectans Kobayashi
Agnostus interstrictus White
Agnostus kushanensis Walcott
Agnostus latelimbatus Lorenz
Agnostus lautus Resser
Agnostus liaotungensis Endo & Resser
Agnostus longifrons var. parvulus Howell
Agnostus (Parvulus) longifrons Howell
Agnostus maladensis Meek
Agnostus neon Hall & Whitfield
Agnostus nordicus Lochman
Agnostus ozakii Endo & Resser
Agnostus parvifrons mammillata Brogger
Agnostus parvifrons var. punctifer Howell
Agnostus pisiformis Linnaeus
Agnostus prolongus Hall & Whitfield
Agnostus rectangularis Howell
Agnostus richmondensis Walcott
Agnostus robustus Deiss
Agnostus seclusus Walcott
Agnostus sp Butts
Agnostus sp Lochman
Agnostus sp Rasetti
Agnostus tumidosus Hall & Whitfield
Agnostus valentinus Lochman
Agnostus vaningeni Howell
Agnostus varius Butts
Agnostus viator Endo & Resser
Agnostus yellowstonensis Resser
Agraulos abrota Walcott
Agraulos agenor Walcott
Agraulos capax Walcott
Agraulos charops Walcott
Agraulos dirce Walcott
Agraulos dolon Walcott
Agraulos dryas Walcott
Agraulos globosus Walcott
Agraulos nitida Walcott
Agraulos obscura Walcott
Agraulos quadrangularis (Whitfield)
Agraulos redpathi Walcott
Agraulos regularis Walcott
Agraulos saratogensis Walcott
Agraulos sorge Walcott
Agraulos sp Samson et al.
Agraulos stater Walcott
Agraulos strenuus var. nasutus Walcott
Agraulos thea Walcott
Agraulos unca Walcott
Agraulos uta Walcott
Agraulos vicina Walcott
Agrulos ceticephalus
Ajacicrepida ajax (Walcott)
Alaskalethe muffleri Hahn & Hahn
Albansia montanensis Howell & Duncan
Albertella bosworthi Walcott
Albertella declivis Rasetti
Albertella eiloitys Fritz
Albertella fritzi Eddy & McCollum
Albertella helena Walcott
Albertella highlandensis Eddy & McCollum
Albertella judithi Fritz
Albertella lata Fritz
Albertella levis Walcott
Albertella limbata Rasetti
Albertella longwelli Palmer in Palmer & Halley
Albertella microps Rasetti
Albertella nitida Resser
Albertella pacifica Walcott
Albertella proveedora Lochman in Cooper Et Al
Albertella rossensis Resser
Albertella sampsoni Resser
Albertella schenki Resser
Albertella similaris Resser
Albertella spectrensis Palmer in Palmer & Halley
Albertella stenorhacis Rasetti
Albertellina aspinosa Palmer in Palmer & Halley
Albertelloides kitai Eddy & McCollum
Albertelloides mischi Fritz
Albertelloides pandispinata Fritz
Albertelloides rectimarginatus Palmer
Albertelloides rectimarginatus Palmer in Palmer & Halley
Albertelloides sp Fritz
Aldonaia alaskensis Palmer
Alokistocare alabamense Resser
Alokistocare alta Fritz
Alokistocare althea Walcott
